Mind,Craft,Body ,Other
Limit,Train,Sleep,Coach
Sacrifice,Practice,Recovery,Prepar
Meditate,Work,Eat,Routine
Focus,Hours,Nutrition,
Motiv,Days,Calories,
Visualize,Week,,
Anxiety,Regimen,,
Success,,,
Key,,,
Goals,,,
Champion,,,
Nerves,,,
Anxiety,,,
Defeat,,,
Adversity,,,
Win,,,
Mind,,,
